Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
2020.0,3.9,Petrol,Manual,30531.0,New,10000-20000,Model S
2012.0,3.7,Electric,Manual,14588.0,New,50000-60000,Fiesta
2008.0,2.3,Hybrid,Manual,143452.0,New,40000-50000,GLC
2010.0,2.8,Electric,Automatic,173717.0,New,40000-50000,RAV4
2003.0,5.5,Electric,Automatic,161929.0,Used,90000-100000,X5
2001.0,4.3,Petrol,Manual,21711.0,Like New,70000-80000,Fit
2005.0,4.9,Hybrid,Automatic,136169.0,Used,40000-50000,5 Series
2013.0,3.3,Hybrid,Manual,159465.0,Used,0-10000,CR-V
2003.0,4.2,Electric,Automatic,284220.0,Used,0-10000,GLC
2005.0,2.2,Electric,Manual,160389.0,Like New,70000-80000,E-Class
2018.0,4.5,Petrol,Automatic,58480.0,Like New,80000-90000,GLC
2005.0,3.1,Diesel,Automatic,269188.0,Like New,70000-80000,Fit
2001.0,3.2,Diesel,Automatic,250309.0,Used,40000-50000,X3
2017.0,4.2,Electric,Manual,55486.0,Like New,0-10000,C-Class
2012.0,5.7,Diesel,Manual,55162.0,New,90000-100000,A3
2008.0,1.3,Diesel,Manual,210359.0,Like New,90000-100000,Model S
2022.0,5.1,Diesel,Automatic,29882.0,Used,50000-60000,CR-V
2018.0,2.5,Diesel,Automatic,54078.0,Used,10000-20000,CR-V
2012.0,3.2,Electric,Manual,238680.0,New,50000-60000,3 Series
2000.0,2.5,Diesel,Manual,174898.0,Like New,60000-70000,Fit
2023.0,3.5,Petrol,Manual,98938.0,New,70000-80000,C-Class
2006.0,3.5,Hybrid,Manual,32543.0,Used,10000-20000,E-Class
2020.0,5.6,Hybrid,Automatic,124279.0,Like New,10000-20000,Model 3
2014.0,1.5,Petrol,Automatic,29362.0,Like New,90000-100000,Model 3
2000.0,4.8,Petrol,Automatic,158818.0,Like New,50000-60000,GLA
2011.0,3.0,Electric,Manual,242721.0,Like New,80000-90000,Model S
2006.0,4.3,Hybrid,Automatic,165229.0,Like New,10000-20000,X5
2014.0,2.3,Diesel,Manual,142394.0,Used,90000-100000,Camry
2020.0,1.8,Petrol,Manual,69812.0,Used,80000-90000,GLC
2018.0,1.8,Hybrid,Manual,296161.0,Used,20000-30000,A4
2000.0,1.4,Electric,Manual,228208.0,Used,80000-90000,Q7
2016.0,1.9,Diesel,Manual,279773.0,New,30000-40000,Accord
2016.0,4.3,Electric,Manual,128614.0,Used,20000-30000,Model 3
2002.0,5.4,Petrol,Automatic,96950.0,New,30000-40000,Q5
2011.0,5.1,Hybrid,Automatic,174942.0,Used,90000-100000,Accord
2010.0,1.6,Hybrid,Automatic,245602.0,Like New,30000-40000,X5
2002.0,2.4,Hybrid,Manual,10588.0,Like New,70000-80000,3 Series
2007.0,2.5,Diesel,Manual,168217.0,New,60000-70000,5 Series
2013.0,2.2,Diesel,Automatic,272743.0,Used,80000-90000,A3
2013.0,3.6,Electric,Automatic,208502.0,Used,30000-40000,Camry
2009.0,3.7,Diesel,Automatic,134011.0,New,50000-60000,Q5
2001.0,2.8,Petrol,Automatic,252856.0,New,60000-70000,Model 3
2013.0,2.8,Petrol,Automatic,284293.0,New,0-10000,Q5
2008.0,5.1,Hybrid,Automatic,197639.0,New,40000-50000,Camry
2002.0,4.9,Petrol,Automatic,141280.0,New,70000-80000,Prius
2020.0,2.5,Electric,Automatic,197170.0,Like New,20000-30000,Model S
2007.0,5.6,Diesel,Manual,180564.0,Used,90000-100000,Corolla
2015.0,5.8,Diesel,Manual,20951.0,New,0-10000,Corolla
2001.0,2.6,Diesel,Manual,179992.0,Like New,90000-100000,X3
2005.0,2.8,Petrol,Manual,46766.0,New,20000-30000,Model X
2020.0,3.5,Diesel,Automatic,159423.0,Like New,0-10000,Mustang
2011.0,5.7,Hybrid,Manual,87122.0,New,30000-40000,Explorer
2004.0,5.4,Hybrid,Automatic,271452.0,Used,70000-80000,Corolla
2001.0,1.5,Hybrid,Manual,83211.0,New,70000-80000,Explorer
2015.0,3.0,Petrol,Automatic,126534.0,New,20000-30000,Focus
2004.0,3.8,Diesel,Automatic,8720.0,Used,20000-30000,RAV4
2014.0,3.5,Petrol,Manual,79993.0,Used,60000-70000,Focus
2003.0,5.3,Electric,Automatic,25905.0,Used,80000-90000,Accord
2014.0,4.4,Electric,Automatic,204580.0,Used,0-10000,Model 3
2010.0,5.2,Petrol,Automatic,50385.0,Like New,60000-70000,Accord
2015.0,5.3,Hybrid,Manual,30653.0,Used,70000-80000,Corolla
2022.0,4.7,Petrol,Manual,91865.0,Used,90000-100000,3 Series
2005.0,3.2,Hybrid,Automatic,125813.0,New,60000-70000,Model 3
2013.0,4.1,Diesel,Manual,145871.0,New,20000-30000,Prius
2017.0,1.8,Hybrid,Automatic,191175.0,Like New,10000-20000,5 Series
2011.0,4.4,Hybrid,Manual,248535.0,New,60000-70000,Fit
2010.0,1.9,Diesel,Manual,15052.0,Used,50000-60000,Camry
2012.0,4.5,Electric,Manual,137116.0,Used,90000-100000,Model Y
2020.0,2.1,Diesel,Manual,150943.0,Used,70000-80000,Model 3
2022.0,1.6,Petrol,Manual,220375.0,New,50000-60000,E-Class
2010.0,1.8,Petrol,Automatic,21381.0,Used,40000-50000,Q7
2022.0,1.0,Petrol,Automatic,148346.0,Used,40000-50000,Focus
2015.0,4.6,Petrol,Manual,243234.0,Like New,20000-30000,3 Series
2014.0,4.7,Petrol,Automatic,256017.0,Like New,0-10000,GLA
2020.0,3.6,Electric,Automatic,235020.0,Like New,50000-60000,Mustang
2014.0,1.8,Electric,Manual,49892.0,New,20000-30000,Mustang
2003.0,1.4,Hybrid,Automatic,181593.0,Used,20000-30000,Camry
2010.0,1.1,Petrol,Manual,214992.0,Used,10000-20000,Mustang
2018.0,1.8,Diesel,Automatic,280064.0,Used,20000-30000,A3
2014.0,5.5,Petrol,Automatic,278846.0,Like New,0-10000,Model 3
2003.0,2.2,Electric,Automatic,256216.0,Used,60000-70000,C-Class
2020.0,2.8,Petrol,Automatic,264038.0,Used,40000-50000,Fiesta
2012.0,1.5,Electric,Automatic,293129.0,Used,50000-60000,Camry
2021.0,2.1,Hybrid,Automatic,159359.0,Used,60000-70000,A4
2018.0,3.6,Hybrid,Automatic,258771.0,Used,90000-100000,Civic
2001.0,4.0,Hybrid,Manual,125702.0,New,10000-20000,Model Y
2013.0,2.2,Electric,Manual,73527.0,Used,40000-50000,Model 3
2003.0,1.3,Petrol,Manual,146511.0,New,20000-30000,E-Class
2015.0,3.0,Petrol,Manual,225692.0,Used,50000-60000,Model Y
2020.0,2.2,Diesel,Automatic,158731.0,New,90000-100000,Explorer
2013.0,5.8,Diesel,Automatic,235311.0,Used,60000-70000,Model Y
2002.0,3.8,Petrol,Manual,199378.0,Used,60000-70000,CR-V
2007.0,3.1,Electric,Manual,56697.0,Like New,0-10000,CR-V
2009.0,3.7,Diesel,Manual,278795.0,New,50000-60000,A3
2003.0,4.5,Diesel,Automatic,180116.0,Like New,30000-40000,Fiesta
2017.0,4.5,Petrol,Manual,14633.0,Like New,20000-30000,Model 3
2001.0,1.9,Petrol,Automatic,79164.0,Used,80000-90000,Model S
2012.0,3.1,Electric,Automatic,123425.0,New,10000-20000,X5
2003.0,5.4,Petrol,Manual,250220.0,Like New,40000-50000,Q7
2010.0,4.2,Electric,Manual,295182.0,New,20000-30000,5 Series
2006.0,3.7,Diesel,Automatic,180160.0,Used,70000-80000,GLA
2011.0,1.6,Diesel,Automatic,204249.0,Used,60000-70000,Q7
2009.0,4.0,Hybrid,Manual,205538.0,Used,70000-80000,Model Y
2006.0,1.6,Petrol,Automatic,197865.0,Used,30000-40000,Model X
2012.0,2.7,Diesel,Manual,201466.0,Used,70000-80000,A4
2006.0,1.7,Petrol,Automatic,187223.0,Like New,80000-90000,Model Y
2016.0,2.0,Diesel,Automatic,137980.0,Used,30000-40000,Q5
2009.0,3.0,Petrol,Manual,68447.0,Like New,90000-100000,X3
2009.0,5.5,Diesel,Manual,205599.0,Like New,0-10000,Q5
2023.0,2.0,Diesel,Manual,226301.0,Like New,30000-40000,Model X
2003.0,3.5,Petrol,Automatic,279778.0,New,10000-20000,Fiesta
2003.0,1.1,Diesel,Automatic,55063.0,Used,10000-20000,GLA
2006.0,1.3,Diesel,Automatic,19340.0,Used,70000-80000,Accord
2021.0,3.4,Electric,Manual,62781.0,New,30000-40000,CR-V
2000.0,3.8,Diesel,Automatic,277045.0,Used,80000-90000,Q5
2011.0,4.1,Hybrid,Automatic,10638.0,Used,40000-50000,GLA
2023.0,4.4,Diesel,Automatic,217986.0,New,90000-100000,Prius
2012.0,2.3,Petrol,Manual,221668.0,Like New,90000-100000,A3
2009.0,1.0,Hybrid,Automatic,294786.0,New,70000-80000,GLC
2014.0,4.6,Electric,Automatic,25378.0,Used,90000-100000,3 Series
2012.0,3.7,Hybrid,Automatic,118171.0,New,70000-80000,X3
2022.0,5.2,Hybrid,Automatic,214801.0,Like New,90000-100000,X3
2021.0,5.1,Hybrid,Manual,64377.0,Like New,20000-30000,3 Series
2021.0,5.2,Petrol,Manual,260339.0,Like New,30000-40000,X5
2020.0,3.4,Petrol,Automatic,54691.0,Like New,70000-80000,C-Class
2014.0,1.9,Petrol,Manual,121399.0,Used,30000-40000,Model S
2009.0,5.3,Hybrid,Manual,31357.0,New,80000-90000,5 Series
2023.0,5.4,Petrol,Manual,294458.0,Used,10000-20000,Corolla
2009.0,3.3,Diesel,Manual,70283.0,Like New,30000-40000,Model Y
2007.0,1.4,Petrol,Automatic,59567.0,Used,50000-60000,C-Class
2015.0,5.0,Electric,Manual,141758.0,Like New,60000-70000,Prius
2016.0,5.5,Diesel,Manual,61606.0,Used,50000-60000,RAV4
2004.0,2.0,Electric,Automatic,281035.0,Used,20000-30000,Fiesta
2003.0,1.3,Electric,Automatic,101732.0,New,80000-90000,GLA
2017.0,5.4,Hybrid,Automatic,191791.0,Like New,60000-70000,RAV4
2023.0,2.9,Diesel,Automatic,292021.0,New,30000-40000,X3
2018.0,3.7,Hybrid,Automatic,249465.0,Like New,20000-30000,A4
2003.0,5.8,Hybrid,Manual,224589.0,Like New,80000-90000,Corolla
2006.0,1.3,Petrol,Manual,14026.0,Used,80000-90000,Fiesta
2009.0,4.2,Diesel,Automatic,282566.0,New,20000-30000,Model Y
2017.0,1.4,Petrol,Automatic,295625.0,New,0-10000,GLC
2018.0,2.9,Petrol,Manual,109384.0,New,80000-90000,Explorer
2003.0,5.0,Hybrid,Automatic,252771.0,Like New,60000-70000,Corolla
2009.0,3.2,Electric,Manual,58031.0,New,10000-20000,C-Class
2022.0,3.8,Electric,Manual,143084.0,New,40000-50000,Camry
2017.0,2.6,Hybrid,Manual,236503.0,New,70000-80000,Focus
2004.0,2.1,Hybrid,Automatic,292104.0,Used,20000-30000,Fit
2016.0,2.9,Hybrid,Manual,130066.0,Used,10000-20000,Model X
2011.0,2.8,Hybrid,Automatic,264837.0,Like New,70000-80000,GLA
2001.0,3.3,Electric,Automatic,115313.0,New,70000-80000,Corolla
2000.0,4.6,Petrol,Automatic,28810.0,New,70000-80000,3 Series
2022.0,4.3,Electric,Manual,20092.0,New,40000-50000,Prius
2020.0,4.5,Diesel,Automatic,58105.0,Used,90000-100000,C-Class
2016.0,1.0,Electric,Manual,161577.0,New,10000-20000,RAV4
2015.0,4.3,Electric,Automatic,290699.0,Like New,20000-30000,3 Series
2004.0,3.4,Petrol,Manual,71934.0,New,30000-40000,X3
2014.0,1.0,Diesel,Automatic,72788.0,Used,50000-60000,GLA
2002.0,5.0,Electric,Automatic,280083.0,Like New,70000-80000,Model S
2009.0,1.3,Diesel,Manual,36.0,Like New,40000-50000,Camry
2013.0,3.9,Hybrid,Automatic,80738.0,Like New,20000-30000,Camry
2012.0,4.9,Electric,Automatic,60071.0,Used,80000-90000,Camry
2001.0,4.8,Petrol,Automatic,130613.0,Like New,60000-70000,Focus
2002.0,5.0,Electric,Manual,73601.0,New,40000-50000,Camry
2020.0,1.7,Diesel,Manual,167720.0,Like New,40000-50000,Fit
2017.0,4.4,Electric,Manual,71468.0,New,30000-40000,X3
2002.0,4.1,Diesel,Automatic,288614.0,New,10000-20000,E-Class
2009.0,4.7,Diesel,Automatic,196201.0,New,10000-20000,Model 3
2021.0,1.8,Electric,Automatic,8328.0,New,30000-40000,A3
2006.0,2.0,Petrol,Manual,137405.0,Used,60000-70000,Camry
2008.0,5.5,Diesel,Automatic,251519.0,Used,80000-90000,Prius
2016.0,4.7,Diesel,Manual,121173.0,Like New,20000-30000,Focus
2010.0,5.5,Electric,Automatic,46638.0,Like New,40000-50000,GLC
2006.0,4.8,Electric,Automatic,273412.0,Like New,40000-50000,Accord
2023.0,4.0,Electric,Manual,201675.0,Used,50000-60000,A4
2013.0,4.3,Electric,Manual,113920.0,Like New,80000-90000,5 Series
2018.0,5.4,Electric,Automatic,171813.0,Like New,50000-60000,CR-V
2003.0,3.9,Hybrid,Automatic,7887.0,Used,80000-90000,E-Class
2005.0,4.2,Electric,Automatic,228978.0,Like New,50000-60000,Model S
2009.0,1.8,Petrol,Automatic,24918.0,Used,60000-70000,5 Series
2006.0,3.4,Diesel,Automatic,297641.0,Used,40000-50000,Model X
2012.0,4.6,Petrol,Manual,192081.0,New,80000-90000,Fiesta
2013.0,2.4,Petrol,Manual,274073.0,New,90000-100000,Explorer
2003.0,2.0,Hybrid,Manual,102201.0,Used,60000-70000,Corolla
2007.0,2.6,Electric,Manual,210171.0,Used,80000-90000,Model X
2004.0,2.2,Diesel,Automatic,290690.0,New,10000-20000,E-Class
2003.0,3.1,Electric,Manual,168410.0,Like New,20000-30000,5 Series
2002.0,5.5,Electric,Manual,82494.0,Like New,20000-30000,CR-V
2008.0,3.5,Hybrid,Automatic,215859.0,Used,10000-20000,GLA
2007.0,1.9,Hybrid,Manual,233853.0,New,90000-100000,GLA
2000.0,1.4,Hybrid,Automatic,128279.0,Like New,80000-90000,Fiesta
2005.0,4.5,Diesel,Manual,81991.0,New,90000-100000,Model S
2008.0,2.9,Petrol,Automatic,290157.0,New,80000-90000,Camry
2006.0,5.1,Hybrid,Manual,52132.0,Used,50000-60000,Camry
2003.0,4.3,Hybrid,Automatic,255069.0,Like New,90000-100000,3 Series
2012.0,5.0,Hybrid,Manual,159156.0,New,90000-100000,Explorer
2016.0,2.4,Petrol,Automatic,152215.0,Used,50000-60000,E-Class
2001.0,4.5,Petrol,Automatic,91627.0,Used,20000-30000,A4
2004.0,2.3,Hybrid,Manual,122772.0,Used,60000-70000,Focus
2020.0,4.2,Electric,Automatic,141294.0,Like New,80000-90000,X5
2005.0,2.3,Diesel,Manual,16116.0,Like New,90000-100000,5 Series
2007.0,2.0,Diesel,Automatic,182124.0,Like New,80000-90000,Mustang
2017.0,4.5,Hybrid,Manual,51369.0,New,70000-80000,Accord
2002.0,2.1,Petrol,Manual,179889.0,Used,70000-80000,Explorer
2021.0,4.0,Electric,Manual,233982.0,Used,30000-40000,Model 3
2011.0,2.3,Petrol,Automatic,214275.0,Like New,60000-70000,Explorer
2002.0,4.3,Hybrid,Automatic,205383.0,Used,50000-60000,X3
2021.0,5.1,Diesel,Automatic,291799.0,Used,80000-90000,Model Y
2005.0,4.9,Electric,Automatic,188874.0,Used,50000-60000,X5
2001.0,4.8,Petrol,Automatic,47632.0,Like New,10000-20000,Prius
2022.0,1.9,Petrol,Automatic,211284.0,Like New,0-10000,Prius
2011.0,1.4,Hybrid,Automatic,161848.0,Like New,60000-70000,Model S
2001.0,4.5,Electric,Manual,191082.0,New,50000-60000,Civic
2005.0,2.8,Diesel,Automatic,213807.0,Used,30000-40000,RAV4
2016.0,3.2,Hybrid,Automatic,196523.0,New,20000-30000,Focus
2002.0,1.2,Electric,Manual,179884.0,Like New,40000-50000,5 Series
2001.0,2.3,Petrol,Manual,281039.0,New,10000-20000,Corolla
2022.0,1.2,Hybrid,Manual,235892.0,Used,30000-40000,Corolla
2019.0,5.4,Petrol,Automatic,213408.0,Used,40000-50000,Fit
2007.0,2.2,Petrol,Manual,242718.0,Like New,40000-50000,Model X
2021.0,3.8,Hybrid,Automatic,192879.0,Like New,40000-50000,Model X
2011.0,1.2,Hybrid,Automatic,23086.0,New,20000-30000,C-Class
2003.0,4.3,Hybrid,Automatic,85637.0,Like New,80000-90000,Fit
2004.0,2.6,Hybrid,Manual,158279.0,New,30000-40000,Fiesta
2012.0,5.5,Hybrid,Manual,151969.0,Used,20000-30000,Model S
2014.0,5.4,Petrol,Automatic,63083.0,Used,20000-30000,X3
2022.0,2.6,Diesel,Automatic,95028.0,Used,30000-40000,Accord
2015.0,5.5,Diesel,Automatic,97551.0,Used,10000-20000,RAV4
2009.0,6.0,Hybrid,Manual,138355.0,Used,0-10000,5 Series
2022.0,5.1,Petrol,Automatic,94024.0,New,60000-70000,5 Series
2015.0,5.2,Diesel,Manual,262399.0,Used,60000-70000,RAV4
2011.0,2.2,Diesel,Automatic,207627.0,New,50000-60000,Civic
2016.0,3.9,Diesel,Manual,15487.0,Used,70000-80000,Corolla
2011.0,1.5,Hybrid,Manual,297194.0,New,90000-100000,5 Series
2007.0,6.0,Hybrid,Manual,270888.0,New,10000-20000,Q7
2019.0,2.6,Hybrid,Manual,61596.0,Like New,60000-70000,A4
2002.0,4.7,Electric,Manual,214469.0,New,10000-20000,Mustang
2015.0,5.0,Electric,Manual,177175.0,New,80000-90000,Model Y
2012.0,5.3,Electric,Manual,153048.0,Used,50000-60000,Prius
2022.0,6.0,Petrol,Automatic,6277.0,New,10000-20000,RAV4
2018.0,2.2,Diesel,Automatic,133332.0,New,60000-70000,Fiesta
2007.0,1.2,Diesel,Automatic,240515.0,Like New,0-10000,Fiesta
2021.0,3.1,Petrol,Automatic,260577.0,Used,70000-80000,Mustang
2004.0,1.7,Petrol,Manual,196955.0,Like New,60000-70000,X5
2019.0,1.1,Hybrid,Automatic,286885.0,Like New,20000-30000,E-Class
2007.0,2.8,Hybrid,Manual,299355.0,Like New,40000-50000,Camry
2023.0,4.9,Electric,Manual,240464.0,New,0-10000,X5
2011.0,3.8,Electric,Manual,258445.0,Like New,70000-80000,Focus
2000.0,2.6,Petrol,Automatic,269013.0,Like New,30000-40000,Corolla
2020.0,4.3,Electric,Manual,94515.0,Used,50000-60000,3 Series
2019.0,2.2,Diesel,Automatic,150494.0,Used,90000-100000,GLC
2005.0,1.1,Petrol,Automatic,166685.0,Used,30000-40000,X5
2021.0,4.8,Petrol,Automatic,188088.0,Used,90000-100000,C-Class
2017.0,4.1,Diesel,Automatic,60110.0,Like New,60000-70000,Focus
2007.0,4.8,Hybrid,Automatic,219601.0,Used,20000-30000,GLA
2006.0,1.2,Hybrid,Manual,208994.0,New,40000-50000,Camry
2000.0,5.2,Diesel,Manual,296177.0,Like New,70000-80000,Mustang
2020.0,4.1,Diesel,Automatic,260705.0,Used,40000-50000,RAV4
2015.0,3.8,Electric,Manual,12938.0,Like New,10000-20000,A4
2011.0,4.1,Petrol,Automatic,130842.0,Used,20000-30000,Accord
2005.0,5.3,Electric,Manual,264418.0,Like New,80000-90000,C-Class
2019.0,3.9,Diesel,Manual,150033.0,Used,60000-70000,Civic
2001.0,3.9,Electric,Manual,20044.0,New,50000-60000,Accord
2013.0,6.0,Diesel,Manual,99372.0,Used,20000-30000,E-Class
2003.0,4.8,Electric,Manual,276850.0,Like New,80000-90000,Fiesta
2000.0,3.2,Electric,Manual,137046.0,Like New,90000-100000,Q7
2022.0,4.5,Hybrid,Manual,21213.0,New,0-10000,Prius
2017.0,2.9,Diesel,Manual,1950.0,Like New,10000-20000,X3
2012.0,2.1,Electric,Manual,254043.0,New,80000-90000,RAV4
2001.0,4.0,Petrol,Manual,216085.0,Like New,80000-90000,X5
2008.0,5.6,Electric,Manual,272555.0,Like New,60000-70000,Prius
2020.0,5.6,Electric,Manual,148843.0,New,90000-100000,GLA
2001.0,2.7,Petrol,Manual,297197.0,Like New,60000-70000,Q5
2008.0,3.6,Diesel,Automatic,248966.0,Like New,20000-30000,3 Series
2000.0,2.1,Hybrid,Manual,138117.0,New,70000-80000,Model X
2010.0,6.0,Hybrid,Manual,29714.0,Used,60000-70000,Explorer
2002.0,5.9,Hybrid,Manual,165458.0,New,90000-100000,RAV4
2019.0,4.2,Petrol,Manual,270706.0,Like New,20000-30000,Corolla
2022.0,5.0,Electric,Manual,12026.0,Used,60000-70000,3 Series
2003.0,4.6,Diesel,Manual,106147.0,Used,70000-80000,Fiesta
2017.0,4.0,Electric,Automatic,31589.0,Used,30000-40000,Fiesta
2022.0,1.3,Hybrid,Automatic,108199.0,New,40000-50000,C-Class
2005.0,3.3,Electric,Automatic,288988.0,Used,80000-90000,Model Y
2002.0,4.4,Petrol,Manual,208574.0,Used,40000-50000,E-Class
2021.0,4.4,Petrol,Manual,214340.0,Used,60000-70000,GLA
2010.0,2.9,Diesel,Manual,54708.0,Like New,80000-90000,GLC
2014.0,5.7,Diesel,Automatic,70825.0,New,20000-30000,C-Class
2021.0,1.8,Hybrid,Manual,51574.0,New,90000-100000,GLA
2004.0,3.5,Diesel,Manual,232409.0,Like New,70000-80000,A3
2019.0,4.5,Electric,Automatic,186381.0,Used,50000-60000,Explorer
2009.0,4.5,Petrol,Automatic,64230.0,Like New,40000-50000,C-Class
2011.0,4.2,Petrol,Manual,254451.0,Like New,90000-100000,Mustang
2014.0,2.4,Petrol,Manual,247174.0,Used,20000-30000,Fiesta
2016.0,1.8,Diesel,Manual,219700.0,Used,30000-40000,CR-V
2009.0,4.2,Petrol,Manual,287249.0,New,30000-40000,Q5
2005.0,4.0,Petrol,Automatic,246514.0,Used,30000-40000,GLA
2017.0,1.9,Petrol,Manual,264491.0,Like New,40000-50000,RAV4
2012.0,4.5,Hybrid,Manual,226094.0,Like New,90000-100000,5 Series
2002.0,3.3,Hybrid,Automatic,148182.0,Used,80000-90000,Model X
2023.0,4.3,Diesel,Manual,193242.0,New,30000-40000,Corolla
2009.0,5.2,Petrol,Manual,182873.0,Like New,40000-50000,A4
2013.0,1.8,Diesel,Automatic,124926.0,Used,60000-70000,3 Series
2002.0,4.9,Petrol,Manual,19199.0,New,80000-90000,Explorer
2015.0,4.0,Petrol,Automatic,183208.0,Like New,80000-90000,5 Series
2006.0,4.5,Diesel,Automatic,220868.0,Like New,80000-90000,Explorer
2019.0,5.2,Diesel,Manual,120787.0,New,40000-50000,Corolla
2008.0,5.8,Electric,Manual,148063.0,New,0-10000,3 Series
2014.0,3.7,Diesel,Manual,153625.0,Used,40000-50000,X5
